link_mult,fidelity_base,fidelity_s2a_constraint_only,fidelity_s2b_with_feedback
1.0,0.9686570802103348,0.7316460189738412,0.8161119679076925
1.5,0.9686570802103348,0.6460521514995562,0.7558429520955151
2.0,0.9686570802103348,0.5712865746892628,0.7056818786240863
3.0,0.9686570802103348,0.4673686107140936,0.6293498649383191
5.0,0.9686570802103348,0.3469100828240767,0.5401631880311075
8.0,0.9686570802103348,0.2782241858801155,0.4815505650602008
12.0,0.9686570802103348,0.25532648630886856,0.44864486437922096
