experiment,mode,seed,shots,max_rounds,gamma_x,chi,sigma_z,zeta,eta_t,t_m,t_r,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_time_median,lifetime_time_ci_low,lifetime_time_ci_high,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ci_low,gamma_lphi_ci_high,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
phase_diagram_kstar,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,2,2,2,73.66666666666667,80.0,70.52373152460765,76.80960180872569,73.66666666666667,0.15833333333333333,0.8416666666666667,36.708333333333336,2.0068104426787743,1.171326354842984,1.9985672833143857,,,,,,,,naive_best_gain=1.029416
phase_diagram_kstar,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,2,2,2,64.74166666666666,80.0,60.24466669573469,69.23866663759863,64.74166666666666,0.3416666666666667,0.6583333333333333,32.13333333333333,2.0147821576763483,1.0294156618523915,2.0065062537558545,,,,,,,,auto_best_gain=1.171326
phase_diagram_kstar,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,4,4,4,69.95833333333333,80.0,66.27143277609636,73.6452338905703,69.95833333333333,0.25833333333333336,0.7416666666666667,17.366666666666667,4.02831094049904,4.802631578947368,3.9568706434993435,,,,,,,,naive_best_gain=1.716247
phase_diagram_kstar,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,4,4,4,25.0,20.0,21.889789869024355,28.110210130975645,25.0,0.9666666666666667,0.033333333333333326,5.825,4.291845493562231,1.7162471395881007,4.215731528859469,,,,,,,,auto_best_gain=4.802632
phase_diagram_kstar,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,2,2,2,73.66666666666667,80.0,70.52373152460765,76.80960180872569,73.66666666666667,0.15833333333333333,0.8416666666666667,36.708333333333336,2.0068104426787743,1.171326354842984,1.9985672833143857,,,,,,,,naive_best_gain=1.029416
phase_diagram_kstar,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,2,2,2,64.74166666666666,80.0,60.24466669573469,69.23866663759863,64.74166666666666,0.3416666666666667,0.6583333333333333,32.13333333333333,2.0147821576763483,1.0294156618523915,2.0065062537558545,,,,,,,,auto_best_gain=1.171326
phase_diagram_kstar,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,4,4,4,69.95833333333333,80.0,66.27143277609636,73.6452338905703,69.95833333333333,0.25833333333333336,0.7416666666666667,17.366666666666667,4.02831094049904,4.802631578947368,3.9568706434993435,,,,,,,,naive_best_gain=1.716247
phase_diagram_kstar,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,4,4,4,25.0,20.0,21.889789869024355,28.110210130975645,25.0,0.9666666666666667,0.033333333333333326,5.825,4.291845493562231,1.7162471395881007,4.215731528859469,,,,,,,,auto_best_gain=4.802632
