link_mult,S0_BASE,S1_NONLOCAL_BUFFER,S2a_TOPO_MIN,S2b_TOPO_MIN
1.0,0.48971216757858643,0.4668461390409318,0.4105227305592601,0.41213682204513014
1.5,0.48971216757858643,0.456205567856547,0.3812596717374333,0.3825795167079948
2.0,0.48971216757858643,0.44606224488899926,0.35727675961306293,0.3583554511087774
3.0,0.48971216757858643,0.4271799965739382,0.32154652068264045,0.32226593673963855
5.0,0.48971216757858643,0.3944715701982312,0.2816270973148535,0.28194511475899253
8.0,0.48971216757858643,0.35595336150024953,0.2591493179930373,0.2592413164048676
12.0,0.48971216757858643,0.319541995889698,0.25169792446871025,0.251714997474004
