experiment,mode,seed,shots,max_rounds,gamma_x,chi,sigma_z,zeta,eta_t,t_m,t_r,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_time_median,lifetime_time_ci_low,lifetime_time_ci_high,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ci_low,gamma_lphi_ci_high,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
safe_zone,autonomous_sparse,11,120,80,0.03,0.0,0.0003,0.0003,1.0,,,1.0,0.02,0.02,1.0,6,,,45.708333333333336,46.0,40.70024876804573,50.71641789862094,45.708333333333336,0.7333333333333333,0.2666666666666667,7.116666666666666,6.422716627634661,0.9361665813278717,6.37229079304323,0.006753308301732388,0.0032523416269769675,0.010254274976487808,0.26325288111855166,0,,,gamma_full=0.0256533
safe_zone,autonomous_sparse,11,120,80,0.03,5.0,0.0003,0.0003,1.0,,,1.0,0.02,0.02,1.0,6,,,69.14166666666667,80.0,65.17105156721749,73.11228176611584,69.14166666666667,0.25833333333333336,0.7416666666666667,11.133333333333333,6.210329341317365,1.4161119644990612,6.161570995234314,0.021039022587446728,0.017538055912691274,0.024539989262202182,0.8201289004742839,1,,,gamma_full=0.0256533
safe_zone,autonomous_sparse,11,120,80,0.03,10.0,0.0003,0.0003,1.0,,,1.0,0.02,0.02,1.0,6,,,69.56666666666666,80.0,65.64771451913532,73.485618814198,69.56666666666666,0.25,0.75,11.208333333333334,6.206691449814126,1.424816521590715,6.157961665432585,0.04008664163506571,0.03658567496031016,0.04358760830982125,1.5626302596152548,0,,,gamma_full=0.0256533
safe_zone,autonomous_sparse,11,120,80,0.03,0.0,0.014999999999999998,0.014999999999999998,1.0,,,1.0,0.02,0.02,1.0,6,,,45.291666666666664,45.0,40.300369963626686,50.28296336970664,45.291666666666664,0.7416666666666667,0.2583333333333333,7.058333333333334,6.416765053128689,1.7537915456598903,6.280105971648698,0.01728481882023025,0.011008759853023787,0.02356087778743671,0.41085626521628754,1,,,gamma_full=0.0420702
safe_zone,autonomous_sparse,11,120,80,0.03,5.0,0.014999999999999998,0.014999999999999998,1.0,,,1.0,0.02,0.02,1.0,6,,,69.14166666666667,80.0,65.17105156721749,73.11228176611584,69.14166666666667,0.25833333333333336,0.7416666666666667,11.133333333333333,6.210329341317365,2.6773152629880608,6.078066760960171,0.031570533105944446,0.02529447413873788,0.03784659207315101,0.7504244885468064,1,,,gamma_full=0.0420702
safe_zone,autonomous_sparse,11,120,80,0.03,10.0,0.014999999999999998,0.014999999999999998,1.0,,,1.0,0.02,0.02,1.0,6,,,69.56666666666666,80.0,65.64771451913532,73.485618814198,69.56666666666666,0.25,0.75,11.208333333333334,6.206691449814126,2.6937721845756695,6.07450634633309,0.050618152153563474,0.04434209318635707,0.05689421112076988,1.2031821196541672,0,,,gamma_full=0.0420702
