experiment,mode,seed,shots,max_rounds,gamma_x,chi,zeta,eta_t,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
phase_diagram_kstar,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.001,0.001,1.0,2,2,2,74.03374999999987,73.66666666666667,0.15833333333333333,0.8416666666666667,36.708333333333336,2.0168104426787705,1.1655554331055726,1.9887206890400644,,,,,,naive_best_gain=1.024324
phase_diagram_kstar,naive_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.001,0.001,1.0,2,2,2,65.06299999999992,64.74166666666666,0.3416666666666667,0.6583333333333333,32.13333333333333,2.024782157676346,1.0243238137220918,1.9965813755018778,,,,,,auto_best_gain=1.165555
phase_diagram_kstar,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.1,0.1,1.0,4,4,4,70.13199999999992,69.95833333333333,0.25833333333333336,0.7416666666666667,17.366666666666667,4.038310940499035,4.767722089090565,3.9281088421154027,,,,,,naive_best_gain=1.703513
phase_diagram_kstar,naive_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.1,0.1,1.0,4,4,4,25.058249999999997,25.0,0.9666666666666667,0.033333333333333326,5.825,4.301845493562231,1.7035129760872896,4.184451759573499,,,,,,auto_best_gain=4.767722
phase_diagram_kstar,autonomous_sparse,11,120,80,0.03,4.0,0.05,3.0000000000000013,1.0,0.001,0.001,1.0,2,2,2,183.79166666666669,73.66666666666667,0.15833333333333333,0.8416666666666667,36.708333333333336,5.006810442678774,0.732845987705599,1.2504132675585202,,,,,,naive_best_gain=0.642532
phase_diagram_kstar,naive_sparse,11,120,80,0.03,4.0,0.05,3.0000000000000013,1.0,0.001,0.001,1.0,2,2,2,161.1416666666667,64.74166666666666,0.3416666666666667,0.6583333333333333,32.13333333333333,5.01478215767635,0.6425319820568202,1.2524041434489266,,,,,,auto_best_gain=0.732846
phase_diagram_kstar,autonomous_sparse,11,120,80,0.03,4.0,0.05,3.0000000000000013,1.0,0.1,0.1,1.0,2,2,2,166.75833333333335,66.88333333333334,0.26666666666666666,0.7333333333333334,33.291666666666664,5.009011264080101,2.9005652993187416,1.2466259371540127,,,,,,naive_best_gain=0.784896
phase_diagram_kstar,naive_sparse,11,120,80,0.03,4.0,0.05,3.0000000000000013,1.0,0.1,0.1,1.0,2,2,2,45.12500000000001,18.45,0.9916666666666667,0.008333333333333304,8.891666666666667,5.074976569821931,0.784896361791564,1.263043161383426,,,,,,auto_best_gain=2.900565
