experiment,mode,seed,shots,max_rounds,gamma_x,chi,zeta,eta_t,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
safe_zone,autonomous_sparse,11,120,80,0.03,0.0,0.0003,1.0,1.0,0.02,0.02,1.0,6,,,52.825,45.708333333333336,0.7333333333333333,0.2666666666666667,7.116666666666666,7.422716627634661,0.5430945853324195,3.696731644657324,0.006753308301732388,0.26325288111855166,0,,,gamma_full=0.0256533
safe_zone,autonomous_sparse,11,120,80,0.03,5.0,0.0003,1.0,1.0,0.02,0.02,1.0,6,,,80.275,69.14166666666667,0.25833333333333336,0.7416666666666667,11.133333333333333,7.210329341317366,0.8253084304318027,3.590956516541968,0.021039022587446728,0.8201289004742839,0,,,gamma_full=0.0256533
safe_zone,autonomous_sparse,11,120,80,0.03,10.0,0.0003,1.0,1.0,0.02,0.02,1.0,6,,,80.775,69.56666666666666,0.25,0.75,11.208333333333334,7.206691449814127,0.8304489376285128,3.5891447393565388,0.04008664163506571,1.5626302596152548,0,,,gamma_full=0.0256533
safe_zone,autonomous_sparse,11,120,80,0.03,0.0,0.014999999999999998,1.0,1.0,0.02,0.02,1.0,6,,,52.35,45.291666666666664,0.7416666666666667,0.2583333333333333,7.058333333333334,7.41676505312869,1.0244618395303327,3.6684684289203053,0.01728481882023025,0.41085626521628754,0,,,gamma_full=0.0420702
safe_zone,autonomous_sparse,11,120,80,0.03,5.0,0.014999999999999998,1.0,1.0,0.02,0.02,1.0,6,,,80.275,69.14166666666667,0.25833333333333336,0.7416666666666667,11.133333333333333,7.210329341317366,1.5709393346379648,3.5663615284108885,0.031570533105944446,0.7504244885468064,1,,,gamma_full=0.0420702
safe_zone,autonomous_sparse,11,120,80,0.03,10.0,0.014999999999999998,1.0,1.0,0.02,0.02,1.0,6,,,80.775,69.56666666666666,0.25,0.75,11.208333333333334,7.206691449814127,1.580724070450098,3.5645621603532684,0.050618152153563474,1.2031821196541672,0,,,gamma_full=0.0420702
