link_mult,fidelity_S0_base,fidelity_S1_nonlocal,fidelity_S2a_constraint_only,fidelity_S2b_with_feedback
1.0,0.9686570802103348,0.4648087121092667,0.7316460189738412,0.8883521102101749
1.5,0.9686570802103348,0.4563587708137252,0.6460521514995562,0.8511732200326166
2.0,0.9686570802103348,0.4472393454744163,0.5712865746892628,0.8159950643481474
3.0,0.9686570802103348,0.42748063305064216,0.4673686107140936,0.7553231569244251
5.0,0.9686570802103348,0.3934893671667326,0.3469100828240767,0.6638795398205207
8.0,0.9686570802103348,0.3569062620441385,0.2782241858801155,0.5759468390438673
12.0,0.9686570802103348,0.32129708890284053,0.25532648630886856,0.5117010455221501
