experiment,mode,seed,shots,max_rounds,gamma_x,chi,sigma_z,zeta,eta_t,t_m,t_r,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_time_median,lifetime_time_ci_low,lifetime_time_ci_high,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ci_low,gamma_lphi_ci_high,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
phase_diagram_kstar,autonomous_sparse,11,50,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,2,2,2,19.72,20.0,19.1712,20.2688,19.72,0.02,0.98,9.84,2.0040650406504064,1.0979955456570154,1.9996016441233455,,,,,,,,naive_best_gain=1.055679
phase_diagram_kstar,naive_sparse,11,50,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,2,2,2,18.96,20.0,17.891646799976712,20.02835320002329,18.96,0.1,0.9,9.4,2.0170212765957447,1.0556792873051224,2.01252902430934,,,,,,,,auto_best_gain=1.097996
phase_diagram_kstar,autonomous_sparse,11,50,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,2,2,2,19.14,20.0,18.18469514813333,20.095304851866672,19.14,0.06,0.94,9.54,2.006289308176101,1.6111111111111112,1.9758909853249476,,,,,,,,naive_best_gain=1.267677
phase_diagram_kstar,naive_sparse,11,50,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,2,2,2,15.06,17.5,13.387098998744996,16.732901001255005,15.06,0.58,0.42000000000000004,7.42,2.0296495956873315,1.2676767676767677,1.998897329086008,,,,,,,,auto_best_gain=1.611111
phase_diagram_kstar,autonomous_sparse,11,50,20,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,2,2,2,19.72,20.0,19.1712,20.2688,19.72,0.02,0.98,9.84,2.0040650406504064,1.0979955456570154,1.9996016441233455,,,,,,,,naive_best_gain=1.055679
phase_diagram_kstar,naive_sparse,11,50,20,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.001,0.001,1.0,2,2,2,18.96,20.0,17.891646799976712,20.02835320002329,18.96,0.1,0.9,9.4,2.0170212765957447,1.0556792873051224,2.01252902430934,,,,,,,,auto_best_gain=1.097996
phase_diagram_kstar,autonomous_sparse,11,50,20,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,2,2,2,19.14,20.0,18.18469514813333,20.095304851866672,19.14,0.06,0.94,9.54,2.006289308176101,1.6111111111111112,1.9758909853249476,,,,,,,,naive_best_gain=1.267677
phase_diagram_kstar,naive_sparse,11,50,20,0.03,4.0,0.05,0.05,3.0000000000000013,,,1.0,0.1,0.1,1.0,2,2,2,15.06,17.5,13.387098998744996,16.732901001255005,15.06,0.58,0.42000000000000004,7.42,2.0296495956873315,1.2676767676767677,1.998897329086008,,,,,,,,auto_best_gain=1.611111
