experiment,mode,seed,shots,max_rounds,gamma_x,chi,sigma_z,zeta,eta_t,t_m,t_r,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_time_median,lifetime_time_ci_low,lifetime_time_ci_high,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ci_low,gamma_lphi_ci_high,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
phase_diagram_gain,full_syndrome,11,40,20,0.03,4.0,0.05,0.05,0.30000000000000004,0.1,0.2,1.0,0.001,0.001,1.0,1,3,3,23.222500000000004,26.000000000000007,21.0853890650082,25.359610934991807,17.875,0.15,0.85,17.825,1.3028050490883594,1.0,1.0,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,40,20,0.03,4.0,0.05,0.05,0.30000000000000004,0.1,0.2,1.0,0.001,0.001,1.0,3,3,3,20.03499999999999,,,,,0.15,,,3.6761467889908235,0.8627408763053067,2.8217167192921266,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,40,20,0.03,4.0,0.05,0.05,0.30000000000000004,0.1,0.2,1.0,0.001,0.001,1.0,3,3,3,21.329999999999988,,,,,0.05,,,3.6461538461538443,0.9185057595004837,2.798694899674551,,,,,,,,crossover=0
phase_diagram_gain,full_syndrome,11,40,20,0.03,4.0,0.05,0.05,0.30000000000000004,0.1,0.2,1.0,0.1,0.1,1.0,1,3,3,15.750000000000005,16.750000000000004,13.086680991020842,18.41331900897917,12.15,0.775,0.22499999999999998,12.0,1.3125000000000004,1.0,1.0,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,40,20,0.03,4.0,0.05,0.05,0.30000000000000004,0.1,0.2,1.0,0.1,0.1,1.0,3,3,3,16.744999999999997,,,,,0.55,,,3.6010752688172034,1.0631746031746026,2.743676395289297,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,40,20,0.03,4.0,0.05,0.05,0.30000000000000004,0.1,0.2,1.0,0.1,0.1,1.0,3,3,3,20.322499999999987,,,,,0.15,,,3.6452914798206253,1.290317460317459,2.77736493700619,,,,,,,,crossover=0
